PRISM Web Server Predictions:
Last Update: 2021/10/23
File Format: Target1 Target2 Interface Energy Date_Added

2b9r	6iui	1au1AB	-17.93	2021-10-20 05:45:37
2b9r	6iui	3gl9CD	-13.1	2021-10-20 05:45:37
2b9r	6iui	3gl9CD	-9.65	2021-10-20 05:45:37
2b9r	6iui	3q2sAB	-44.05	2021-10-20 05:45:37
6iui	2b9r	1zaeAB	-4.14	2021-10-20 05:45:37
6iui	2b9r	3hlsFG	-21.03	2021-10-20 05:45:37
6iui	2b9r	3o10CD	-16.1	2021-10-20 05:45:37
6iui	2b9r	5crxAB	-8.68	2021-10-20 05:45:37
6iui	2b9r	1zaeAB	-4.14	2021-10-20 05:44:18
6iui	2b9r	3hlsFG	-21.03	2021-10-20 05:44:18
6iui	2b9r	3o10CD	-16.1	2021-10-20 05:44:18
6iui	2b9r	5crxAB	-8.68	2021-10-20 05:44:18
2b9r	6iui	1au1AB	-17.93	2021-10-20 05:44:18
2b9r	6iui	3gl9CD	-13.1	2021-10-20 05:44:18
2b9r	6iui	3gl9CD	-9.65	2021-10-20 05:44:18
2b9r	6iui	3q2sAB	-44.05	2021-10-20 05:44:18
1a0h1A	1a0hA	3t75AB	-16.72	2021-10-20 03:17:04
1a0hA	1a0h1A	3t75AB	-16.72	2021-10-20 03:17:04
1jnx	6k4n	1kkmBC	-13.34	2021-10-16 03:41:31
1jnx	6k4n	1pzmAB	-0.86	2021-10-16 03:41:31
1jnx	6k4n	2dfxEI	-4.27	2021-10-16 03:41:31
6k4n	1jnx	1pzmAB	-8.8	2021-10-16 03:41:31
6acc	1c1z	3axyBD	-13.42	2021-10-13 02:09:34
6acc	1c1z	3axyBD	-13.42	2021-10-13 02:09:25
5vq2A	4dsoA	2erxAB	-12.38	2021-10-13 01:29:07
5vq2A	4dsoA	2erxAB	-16.9	2021-10-13 01:29:07
5vq2A	4dsoA	2w2vAB	-8.75	2021-10-13 01:29:07
5vq2A	4dsoA	2w2vAB	-9.18	2021-10-13 01:29:07
5vq2A	4dsoA	2w2vAB	-7.9	2021-10-13 01:29:07
5vq2A	4dsoA	2w2vAB	-11.79	2021-10-13 01:29:07
5vq2A	4dsoA	2w2vAB	-12.16	2021-10-13 01:29:07
5vq2A	4dsoA	2w2vAB	-9.93	2021-10-13 01:29:07
5vq2A	4dsoA	3k9lAC	-6.27	2021-10-13 01:29:07
4dsoA	5vq2A	2w2vAB	-8.33	2021-10-13 01:29:07
4dsoA	5vq2A	2w2vAB	-8.14	2021-10-13 01:29:07
4dsoA	5vq2A	2w2vAB	-9.48	2021-10-13 01:29:07
4dsoA	5vq2A	2w2vAB	-8.63	2021-10-13 01:29:07
4dsoA	5vq2A	3bh7AB	-23.93	2021-10-13 01:29:07
4dsoA	5vq2A	3gftBE	-9.2	2021-10-13 01:29:07
4dsoA	5vq2A	3k9lAC	-7.4	2021-10-13 01:29:07
1iozA	1qraA	1lfdCD	-5.27	2021-10-13 00:18:45
1iozA	1qraA	2erxAB	-18.17	2021-10-13 00:18:45
1iozA	1qraA	2erxAB	-5.29	2021-10-13 00:18:45
1iozA	1qraA	2erxAB	-13.85	2021-10-13 00:18:45
1iozA	1qraA	2w2vAB	-3.83	2021-10-13 00:18:45
1iozA	1qraA	2w2vAB	-0.93	2021-10-13 00:18:45
1iozA	1qraA	3k9lAC	-17.39	2021-10-13 00:18:45
1iozA	1qraA	3p9yAB	-31.48	2021-10-13 00:18:45
1qraA	1iozA	1gylAB	-15.99	2021-10-13 00:18:45
1qraA	1iozA	1lfdCD	-3.77	2021-10-13 00:18:45
1qraA	1iozA	1lfdCD	-8.74	2021-10-13 00:18:45
1qraA	1iozA	1lfdCD	-19.46	2021-10-13 00:18:45
1qraA	1iozA	1mo1AB	-4.73	2021-10-13 00:18:45
1qraA	1iozA	1u90AB	-8.32	2021-10-13 00:18:45
1qraA	1iozA	1u90AB	-9.89	2021-10-13 00:18:45
1qraA	1iozA	2erxAB	-37.04	2021-10-13 00:18:45
1qraA	1iozA	2erxAB	-27.47	2021-10-13 00:18:45
1qraA	1iozA	2erxAB	-35.88	2021-10-13 00:18:45
1qraA	1iozA	2erxAB	-37.28	2021-10-13 00:18:45
1qraA	1iozA	2erxAB	-35.84	2021-10-13 00:18:45
1qraA	1iozA	2erxAB	-10.63	2021-10-13 00:18:45
1qraA	1iozA	2w2vAB	-25.6	2021-10-13 00:18:45
1qraA	1iozA	2w2vAB	-22.15	2021-10-13 00:18:45
1qraA	1iozA	2w2vAB	-36.85	2021-10-13 00:18:45
1qraA	1iozA	2w2vAB	-32.92	2021-10-13 00:18:45
1qraA	1iozA	3k9lAC	-5.81	2021-10-13 00:18:45
1qraA	1iozA	3p9yAB	-14.05	2021-10-13 00:18:45
4a1wC	5w5zA	3bl5BC	-24.97	2021-10-12 04:13:47
5w5zA	4a1wC	3bl5BC	-27.29	2021-10-12 04:13:47
5w60A	4a1wC	2ba0EH	-9.4	2021-10-12 04:13:47
4zigA	4a1wC	1ntcAB	-36.85	2021-10-12 04:13:47
4zigA	4a1wC	2hfsAB	-19.88	2021-10-12 04:13:47
4zigA	4a1wC	3a8yCD	-1.67	2021-10-12 04:13:47
4zigA	4a1wC	3ezqCD	-51.75	2021-10-12 04:13:47
4zigA	4a1wC	3tadCD	-29.61	2021-10-12 04:13:47
1i4oA	5o6tA	1nbqAB	-7.68	2021-10-12 04:00:41
2k7wA	4a1wC	3sbaBD	-52.19	2021-10-12 04:00:41
2lr1A	4a1wC	1r1uAB	-24.22	2021-10-12 04:00:41
2lr1A	4a1wC	3anyAC	-5.64	2021-10-12 04:00:41
